Albany-Schenectady,NY CSA,1173891,5380,6661,14679,-14631
Albuquerque-Santa Fe-Las Vegas,NM CSA,1168533,22484,24454,9764,-11870
Amarillo-Borger,TX CSA,283790,9608,8803,4159,-3361
Appleton-Oshkosh-Neenah,WI CSA,402553,9893,9065,1573,-869
Asheville-Brevard,NC CSA,480051,22101,-1824,1670,20983
Atlanta--Athens-Clarke County--Sandy Springs,GA CSA,6365108,454813,220573,104098,125516
Bend-Redmond-Prineville,OR CSA,196898,18187,1920,29,15936
Birmingham-Hoover-Talladega,AL CSA,1319238,16723,15609,6316,-4836
Bloomington-Bedford,IN CSA,211072,5401,1875,5354,-1776
Bloomington-Pontiac,IL CSA,226084,1001,5233,3389,-7606
Bloomsburg-Berwick-Sunbury,PA CSA,263873,-862,-695,1493,-1546
Boise City-Mountain Home-Ontario,ID-OR CSA,756061,58527,26186,5464,25939
Boston-Worcester-Providence,MA-RI-NH-CT CSA,8152573,258826,113123,213398,-61571
Bowling Green-Glasgow,KY CSA,221915,11044,3790,2864,4344
Brownsville-Harlingen-Raymondville,TX CSA,444059,15706,27158,3999,-15751
Buffalo-Cheektowaga,NY CSA,1213152,-2753,1507,17559,-19386
Cape Coral-Fort Myers-Naples,FL CSA,1059287,119013,1487,25826,90692
Cape Girardeau-Sikeston,MO-IL CSA,136542,1080,1639,702,-1235
Cedar Rapids-Iowa City,IA CSA,432538,22012,12506,6677,2783
Charleston-Huntington-Ashland,WV-OH-KY CSA,693726,-14519,-1890,1565,-13229
Charlotte-Concord,NC-SC CSA,2583956,208040,64851,29775,109644
Chattanooga-Cleveland-Dalton,TN-GA-AL CSA,950005,26544,9630,4868,11858
Chicago-Naperville,IL-IN-WI CSA,9923358,81999,277004,144912,-329236
Cincinnati-Wilmington-Maysville,OH-KY-IN CSA,2216735,42453,47313,19177,-22282
Cleveland-Akron-Canton,OH CSA,3493596,-22061,17783,30081,-67365
Cleveland-Indianola,MS CSA,60327,-3271,917,26,-4285
Clovis-Portales,NM CSA,69518,1296,3751,1412,-3908
Columbia-Moberly-Mexico,MO CSA,226174,12589,6285,3838,2418
Columbia-Orangeburg-Newberry,SC CSA,937288,39808,16766,8481,13873
